#options: 2160x3840 fps=60000/1001 timebase=1001/60000 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=8000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:108 out:108 type:P dur:2 cpbdur:2 q:40.03 aq:36.35 tex:59930 mv:18818 misc:16596 imb:149 pmb:3484 smb:28767 d:- ref:0 ;
in:109 out:109 type:P dur:2 cpbdur:2 q:39.99 aq:36.07 tex:50211 mv:19216 misc:16045 imb:173 pmb:3332 smb:28895 d:- ref:0 ;
in:110 out:110 type:P dur:2 cpbdur:2 q:39.97 aq:36.25 tex:62364 mv:27344 misc:19644 imb:121 pmb:4884 smb:27395 d:- ref:0 ;
in:111 out:111 type:P dur:2 cpbdur:2 q:39.94 aq:35.98 tex:56213 mv:21763 misc:16776 imb:121 pmb:3985 smb:28294 d:- ref:0 ;
in:112 out:112 type:P dur:2 cpbdur:2 q:39.93 aq:36.31 tex:68037 mv:20564 misc:17359 imb:118 pmb:3982 smb:28300 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:39.90 aq:36.18 tex:51452 mv:17661 misc:14959 imb:154 pmb:3143 smb:29103 d:- ref:0 ;
in:114 out:114 type:P dur:2 cpbdur:2 q:39.88 aq:36.27 tex:59388 mv:22456 misc:17612 imb:117 pmb:4060 smb:28223 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:39.84 aq:35.96 tex:47047 mv:15629 misc:14316 imb:156 pmb:2773 smb:29471 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:39.82 aq:36.11 tex:57764 mv:17008 misc:15188 imb:165 pmb:3130 smb:29105 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:39.76 aq:35.97 tex:54652 mv:19834 misc:16154 imb:208 pmb:3372 smb:28820 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:39.73 aq:35.96 tex:68418 mv:24971 misc:18587 imb:164 pmb:4389 smb:27847 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:39.69 aq:35.75 tex:61236 mv:21081 misc:17139 imb:168 pmb:3821 smb:28411 d:- ref:0 ;
in:120 out:120 type:P dur:2 cpbdur:2 q:39.65 aq:35.58 tex:137581 mv:35394 misc:24713 imb:219 pmb:7074 smb:25107 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:39.63 aq:35.33 tex:66719 mv:23695 misc:19490 imb:204 pmb:4295 smb:27901 d:- ref:0 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:39.62 aq:35.51 tex:61434 mv:20516 misc:16754 imb:197 pmb:3574 smb:28629 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:39.58 aq:35.48 tex:67027 mv:27402 misc:20147 imb:194 pmb:4790 smb:27416 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:39.56 aq:35.50 tex:91177 mv:29743 misc:21560 imb:222 pmb:5451 smb:26727 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:39.51 aq:35.07 tex:52277 mv:20529 misc:16346 imb:225 pmb:3379 smb:28796 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:39.48 aq:35.52 tex:52525 mv:17585 misc:13922 imb:213 pmb:2835 smb:29352 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:39.42 aq:35.40 tex:45745 mv:18222 misc:14361 imb:210 pmb:2914 smb:29276 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:39.37 aq:35.36 tex:86119 mv:33931 misc:22326 imb:229 pmb:5947 smb:26224 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:39.33 aq:35.12 tex:77623 mv:30478 misc:20339 imb:236 pmb:5186 smb:26978 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:39.33 aq:35.56 tex:51715 mv:17167 misc:13838 imb:160 pmb:2855 smb:29385 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:39.28 aq:35.22 tex:42651 mv:14008 misc:12197 imb:129 pmb:2338 smb:29933 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:39.28 aq:35.52 tex:59763 mv:20041 misc:15964 imb:165 pmb:3523 smb:28712 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:39.24 aq:35.36 tex:60969 mv:27171 misc:18940 imb:186 pmb:4565 smb:27649 d:- ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:39.24 aq:35.54 tex:61282 mv:23741 misc:17217 imb:152 pmb:4025 smb:28223 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:39.22 aq:35.52 tex:62029 mv:29026 misc:20177 imb:127 pmb:5124 smb:27149 d:- ref:0 ;
in:136 out:136 type:P dur:2 cpbdur:2 q:39.25 aq:35.35 tex:78164 mv:26022 misc:19190 imb:146 pmb:4832 smb:27422 d:- ref:0 ;
in:137 out:137 type:P dur:2 cpbdur:2 q:39.22 aq:35.23 tex:63715 mv:24539 misc:17954 imb:129 pmb:4411 smb:27860 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:39.21 aq:35.36 tex:63454 mv:21754 misc:16200 imb:131 pmb:3882 smb:28387 d:- ref:0 ;
in:139 out:139 type:P dur:2 cpbdur:2 q:39.17 aq:35.57 tex:50764 mv:20540 misc:15784 imb:128 pmb:3566 smb:28706 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:39.16 aq:35.24 tex:85726 mv:29112 misc:20450 imb:161 pmb:5430 smb:26809 d:- ref:0 ;
in:141 out:141 type:P dur:2 cpbdur:2 q:39.14 aq:35.38 tex:68655 mv:28014 misc:19907 imb:159 pmb:5026 smb:27215 d:- ref:0 ;
in:142 out:142 type:P dur:2 cpbdur:2 q:39.14 aq:35.43 tex:70419 mv:23539 misc:17194 imb:193 pmb:4129 smb:28078 d:- ref:0 ;
in:143 out:143 type:P dur:2 cpbdur:2 q:39.10 aq:35.44 tex:60252 mv:21118 misc:16390 imb:158 pmb:3736 smb:28506 d:- ref:0 ;
in:144 out:144 type:P dur:2 cpbdur:2 q:39.08 aq:35.13 tex:89698 mv:26547 misc:19411 imb:175 pmb:4955 smb:27270 d:- ref:0 ;
in:145 out:145 type:P dur:2 cpbdur:2 q:39.05 aq:35.25 tex:77664 mv:28994 misc:20414 imb:181 pmb:5204 smb:27015 d:- ref:0 ;
in:146 out:146 type:P dur:2 cpbdur:2 q:39.05 aq:35.20 tex:77996 mv:23606 misc:17190 imb:175 pmb:4220 smb:28005 d:- ref:0 ;
in:147 out:147 type:P dur:2 cpbdur:2 q:39.02 aq:35.44 tex:63912 mv:21168 misc:15808 imb:176 pmb:3708 smb:28516 d:- ref:0 ;
in:148 out:148 type:P dur:2 cpbdur:2 q:39.00 aq:35.24 tex:89232 mv:25204 misc:18940 imb:245 pmb:4502 smb:27653 d:- ref:0 ;
in:149 out:149 type:P dur:2 cpbdur:2 q:38.96 aq:35.19 tex:62392 mv:21313 misc:16215 imb:255 pmb:3551 smb:28594 d:- ref:0 ;
in:150 out:150 type:P dur:2 cpbdur:2 q:38.95 aq:35.29 tex:93335 mv:29069 misc:18676 imb:342 pmb:4965 smb:27093 d:- ref:0 ;
in:151 out:151 type:P dur:2 cpbdur:2 q:38.93 aq:35.03 tex:66302 mv:22719 misc:17035 imb:241 pmb:3881 smb:28278 d:- ref:0 ;
in:152 out:152 type:P dur:2 cpbdur:2 q:38.90 aq:35.14 tex:110942 mv:32906 misc:21344 imb:320 pmb:5970 smb:26110 d:- ref:0 ;
in:153 out:153 type:P dur:2 cpbdur:2 q:38.90 aq:35.16 tex:77359 mv:28140 misc:18749 imb:298 pmb:4806 smb:27296 d:- ref:0 ;
